Robot,T2 Angle,T1 Angle,Accuracy,T1 Distance,T2 Distance
1,270,90,63,35,20
1,270,90,81,35,20
1,270,90,121,35,20
1,270,90,111,35,20
1,270,90,46,35,20
1,270,90,50,35,20
1,270,90,118,35,20
1,270,90,92,35,20
1,270,90,76,35,20
1,270,90,73,35,20
1,270,90,96,35,35
1,270,90,89,35,35
1,270,90,57,35,35
1,270,90,110,35,35
1,270,90,152,35,35
1,270,90,95,35,35
1,270,90,67,35,35
1,270,90,85,35,35
1,270,90,86,35,35
1,270,90,62,35,35
1,270,90,164,35,50
1,270,90,114,35,50
1,270,90,176,35,50
1,270,90,149,35,50
1,270,90,125,35,50
1,270,90,155,35,50
1,270,90,137,35,50
1,270,90,255,35,50
1,270,90,82,35,50
1,270,90,121,35,50
1,270,90,159,35,65
1,270,90,168,35,65
1,270,90,190,35,65
1,270,90,210,35,65
1,270,90,174,35,65
1,270,90,78,35,65
1,270,90,168,35,65
1,270,90,139,35,65
1,270,90,57,35,65
1,270,90,76,35,65
1,0,90,61,35,20
1,0,90,105,35,20
1,0,90,82,35,20
1,0,90,99,35,20
1,0,90,127,35,20
1,0,90,115,35,20
1,0,90,86,35,20
1,0,90,56,35,20
1,0,90,64,35,20
1,0,90,52,35,20
1,0,90,100,35,35
1,0,90,174,35,35
1,0,90,95,35,35
1,0,90,100,35,35
1,0,90,104,35,35
1,0,90,110,35,35
1,0,90,103,35,35
1,0,90,149,35,35
1,0,90,132,35,35
1,0,90,136,35,35
1,225,90,114,35,20
1,225,90,44,35,20
1,225,90,83,35,20
1,225,90,126,35,20
1,225,90,110,35,20
1,225,90,76,35,20
1,225,90,121,35,20
1,225,90,96,35,20
1,225,90,81,35,20
1,225,90,168,35,20
1,70,90,88,35,35
1,70,90,51,35,35
1,70,90,106,35,35
1,70,90,79,35,35
1,70,90,79,35,35
1,70,90,189,35,35
1,70,90,127,35,35
1,70,90,68,35,35
1,70,90,120,35,35
1,70,90,66,35,35
2,270,90,162,35,20
2,270,90,196,35,20
2,270,90,195,35,20
2,270,90,77,35,20
2,270,90,104,35,20
2,270,90,130,35,20
2,270,90,178,35,20
2,270,90,132,35,20
2,270,90,154,35,20
2,270,90,89,35,20
2,270,90,43,35,35
2,270,90,73,35,35
2,270,90,90,35,35
2,270,90,72,35,35
2,270,90,77,35,35
2,270,90,49,35,35
2,270,90,54,35,35
2,270,90,26,35,35
2,270,90,88,35,35
2,270,90,86,35,35
2,270,90,55,35,50
2,270,90,105,35,50
2,270,90,68,35,50
2,270,90,63,35,50
2,270,90,83,35,50
2,270,90,32,35,50
2,270,90,35,35,50
2,270,90,63,35,50
2,270,90,44,35,50
2,270,90,79,35,50
2,270,90,58,35,65
2,270,90,45,35,65
2,270,90,49,35,65
2,270,90,31,35,65
2,270,90,32,35,65
2,270,90,20,35,65
2,270,90,20,35,65
2,270,90,29,35,65
2,270,90,9,35,65
2,270,90,33,35,65
2,0,90,79,35,20
2,0,90,70,35,20
2,0,90,95,35,20
2,0,90,83,35,20
2,0,90,113,35,20
2,0,90,154,35,20
2,0,90,40,35,20
2,0,90,73,35,20
2,0,90,43,35,20
2,0,90,39,35,20
2,0,90,87,35,35
2,0,90,63,35,35
2,0,90,63,35,35
2,0,90,55,35,35
2,0,90,63,35,35
2,0,90,84,35,35
2,0,90,59,35,35
2,0,90,57,35,35
2,0,90,36,35,35
2,0,90,67,35,35
2,225,90,30,35,20
2,225,90,33,35,20
2,225,90,47,35,20
2,225,90,74,35,20
2,225,90,69,35,20
2,225,90,31,35,20
2,225,90,35,35,20
2,225,90,78,35,20
2,225,90,40,35,20
2,225,90,35,35,20
2,70,90,91,35,35
2,70,90,29,35,35
2,70,90,41,35,35
2,70,90,69,35,35
2,70,90,109,35,35
2,70,90,63,35,35
2,70,90,62,35,35
2,70,90,51,35,35
2,70,90,67,35,35
2,70,90,58,35,35
